25, 3.50, 2.00, 2.20, 5.62, 7.82, 366295.00, 157900.00
25, 3.50, 2.75, 2.23, 5.63, 7.85, 372787.00, 161054.00
25, 3.50, 3.50, 2.23, 5.62, 7.85, 376599.00, 162904.00
25, 3.50, 4.25, 2.25, 5.65, 7.90, 379151.00, 164131.00
25, 3.50, 5.00, 2.24, 5.63, 7.88, 380955.00, 164996.00
25, 3.50, 5.75, 2.25, 5.64, 7.89, 382323.00, 165654.00
25, 3.50, 6.50, 2.25, 5.63, 7.88, 383193.00, 166075.00
25, 3.50, 7.25, 2.26, 5.64, 7.90, 384143.00, 166527.00
25, 3.50, 8.00, 2.26, 5.64, 7.90, 384869.00, 166875.00
25, 3.50, 8.75, 2.26, 5.64, 7.90, 385469.00, 167157.00
25, 3.50, 9.50, 2.26, 5.63, 7.89, 385909.00, 167373.00
25, 4.25, 0.50, 1.95, 5.58, 7.53, 272603.00, 115041.00
25, 4.25, 1.25, 2.14, 5.63, 7.77, 342773.00, 146625.00
25, 4.25, 2.00, 2.19, 5.63, 7.82, 361085.00, 155385.00
25, 4.25, 2.75, 2.21, 5.63, 7.85, 369021.00, 159218.00
25, 4.25, 3.50, 2.22, 5.63, 7.86, 373509.00, 161402.00
25, 4.25, 4.25, 2.23, 5.62, 7.85, 376625.00, 162918.00
25, 4.25, 5.00, 2.24, 5.63, 7.88, 378755.00, 163947.00
25, 4.25, 5.75, 2.24, 5.63, 7.87, 380443.00, 164750.00
25, 4.25, 6.50, 2.25, 5.63, 7.88, 381535.00, 165276.00
25, 4.25, 7.25, 2.25, 5.63, 7.88, 382611.00, 165788.00
25, 4.25, 8.00, 2.26, 5.64, 7.90, 383401.00, 166172.00
25, 4.25, 8.75, 2.25, 5.63, 7.88, 384091.00, 166502.00
25, 4.25, 9.50, 2.25, 5.62, 7.88, 384691.00, 166791.00
30, 0.50, 0.50, 3.48, 5.58, 9.06, 730051.00, 324570.00
30, 0.50, 1.25, 3.57, 5.59, 9.16, 759845.00, 338960.00
30, 0.50, 2.00, 3.59, 5.59, 9.18, 767435.00, 342640.00
30, 0.50, 2.75, 3.61, 5.60, 9.21, 771035.00, 344374.00
30, 0.50, 3.50, 3.61, 5.59, 9.20, 773007.00, 345334.00
30, 0.50, 4.25, 3.61, 5.59, 9.20, 774075.00, 345858.00
30, 0.50, 5.00, 3.61, 5.59, 9.20, 774877.00, 346254.00
30, 0.50, 5.75, 3.62, 5.59, 9.21, 775537.00, 346571.00
30, 0.50, 6.50, 3.61, 5.60, 9.21, 776059.00, 346822.00
30, 0.50, 7.25, 3.61, 5.59, 9.19, 776519.00, 347039.00
30, 0.50, 8.00, 3.62, 5.58, 9.20, 776907.00, 347232.00
30, 0.50, 8.75, 3.61, 5.59, 9.21, 777187.00, 347365.00
30, 0.50, 9.50, 3.62, 5.60, 9.22, 777387.00, 347462.00
30, 1.25, 0.50, 3.27, 5.57, 8.84, 662711.00, 292101.00
30, 1.25, 1.25, 3.48, 5.59, 9.07, 729923.00, 324516.00
30, 1.25, 2.00, 3.54, 5.59, 9.13, 748465.00, 333461.00
30, 1.25, 2.75, 3.56, 5.59, 9.15, 757183.00, 337669.00
30, 1.25, 3.50, 3.58, 5.60, 9.18, 761945.00, 339970.00
30, 1.25, 4.25, 3.59, 5.59, 9.18, 765129.00, 341520.00
30, 1.25, 5.00, 3.59, 5.59, 9.18, 767333.00, 342596.00
30, 1.25, 5.75, 3.59, 5.59, 9.18, 769175.00, 343486.00
30, 1.25, 6.50, 3.61, 5.59, 9.20, 770463.00, 344100.00
30, 1.25, 7.25, 3.61, 5.59, 9.20, 771531.00, 344613.00
30, 1.25, 8.00, 3.60, 5.59, 9.19, 772431.00, 345058.00
